recapture_row_id,trial_id,sample_date,sample_time,station_code,flows
{00000006-0000-0000-0000000000000000},19,1999-06-12,09:44:00.000000,Gate 1,10223
{00000007-0000-0000-0000000000000000},20,1999-06-17,09:02:00.000000,Gate 1,10744
{00000008-0000-0000-0000000000000000},21,1999-06-19,08:57:00.000000,Gate 1,11256
{00000009-0000-0000-0000000000000000},23,1999-06-26,08:34:00.000000,Gate 1,12301
{0000000A-0000-0000-0000000000000000},23,1999-06-28,09:21:00.000000,Gate 1,12891
{0000000B-0000-0000-0000000000000000},25,1999-07-05,09:21:00.000000,Gate 1,11994
{0000000C-0000-0000-0000000000000000},26,1999-07-16,09:00:00.000000,Gate 1,12352
{0000000D-0000-0000-0000000000000000},27,1999-07-22,08:51:00.000000,Gate 1,12385
{0000000E-0000-0000-0000000000000000},28,1999-07-26,08:50:00.000000,Gate 1,12184
{0000000F-0000-0000-0000000000000000},29,1999-07-31,09:19:00.000000,Gate 1,11886
{00000011-0000-0000-0000000000000000},29,1999-08-01,09:06:00.000000,Gate 1,12038
{00000012-0000-0000-0000000000000000},30,1999-08-04,08:50:00.000000,Gate 1,11514
{00000013-0000-0000-0000000000000000},31,1999-08-07,08:05:00.000000,Gate 1,9717
{00000014-0000-0000-0000000000000000},32,1999-08-12,09:23:00.000000,Gate 1,9174
{00000015-0000-0000-0000000000000000},32,1999-08-12,09:23:00.000000,Gate 1,9174
{00000016-0000-0000-0000000000000000},33,1999-08-17,09:33:00.000000,Gate 1,8341
{00000017-0000-0000-0000000000000000},203,1998-03-31,13:05:00.000000,Gate 10,36293
{00000018-0000-0000-0000000000000000},204,1998-04-14,19:44:00.000000,Gate 10,14612
{0000001A-0000-0000-0000000000000000},205,1998-04-21,09:01:00.000000,Gate 10,14946
{0000001B-0000-0000-0000000000000000},205,1998-04-22,09:16:00.000000,Gate 10,14944
{0000001C-0000-0000-0000000000000000},206,1998-04-28,08:53:00.000000,Gate 10,14216
{0000001D-0000-0000-0000000000000000},18,1999-06-09,06:19:00.000000,Gate 10,10683
{0000001E-0000-0000-0000000000000000},20,1999-06-17,08:46:00.000000,Gate 10,10744
{0000001F-0000-0000-0000000000000000},20,1999-06-18,08:48:00.000000,Gate 10,10805
{00000020-0000-0000-0000000000000000},21,1999-06-19,08:46:00.000000,Gate 10,11256
{00000021-0000-0000-0000000000000000},21,1999-06-20,08:28:00.000000,Gate 10,11397
{00000022-0000-0000-0000000000000000},22,1999-06-23,06:00:00.000000,Gate 10,11676
{00000023-0000-0000-0000000000000000},22,1999-06-23,20:30:00.000000,Gate 10,11676
{00000024-0000-0000-0000000000000000},23,1999-06-26,08:20:00.000000,Gate 10,12301
{00000025-0000-0000-0000000000000000},23,1999-06-27,08:28:00.000000,Gate 10,12312
{00000026-0000-0000-0000000000000000},24,1999-06-30,05:56:00.000000,Gate 10,12922
{00000027-0000-0000-0000000000000000},24,1999-07-02,08:43:00.000000,Gate 10,12068
{00000028-0000-0000-0000000000000000},25,1999-07-05,08:58:00.000000,Gate 10,11994
{00000029-0000-0000-0000000000000000},26,1999-07-16,08:43:00.000000,Gate 10,12352
{0000002A-0000-0000-0000000000000000},27,1999-07-22,08:40:00.000000,Gate 10,12385
{0000002B-0000-0000-0000000000000000},27,1999-07-24,08:49:00.000000,Gate 10,13094
{0000002C-0000-0000-0000000000000000},28,1999-07-26,08:33:00.000000,Gate 10,12184
{0000002D-0000-0000-0000000000000000},28,1999-07-27,08:53:00.000000,Gate 10,11838
{0000002E-0000-0000-0000000000000000},29,1999-07-31,09:05:00.000000,Gate 10,11886
{0000002F-0000-0000-0000000000000000},30,1999-08-04,08:43:00.000000,Gate 10,11514
{00000030-0000-0000-0000000000000000},31,1999-08-07,07:45:00.000000,Gate 10,9717
{00000031-0000-0000-0000000000000000},31,1999-08-08,08:37:00.000000,Gate 10,9631
{00000032-0000-0000-0000000000000000},32,1999-08-12,09:09:00.000000,Gate 10,9174
{00000033-0000-0000-0000000000000000},216,2000-03-25,08:54:00.000000,Gate 10,11705
{00000034-0000-0000-0000000000000000},216,2000-03-27,18:45:00.000000,Gate 10,10456
{00000035-0000-0000-0000000000000000},218,2000-03-28,18:36:00.000000,Gate 10,9997
{00000036-0000-0000-0000000000000000},218,2000-03-29,06:45:00.000000,Gate 10,10054
{00000037-0000-0000-0000000000000000},219,2000-03-29,06:45:00.000000,Gate 10,10054
{00000038-0000-0000-0000000000000000},218,2000-03-30,05:59:00.000000,Gate 10,9801
{00000039-0000-0000-0000000000000000},201,1998-03-10,09:05:00.000000,Gate 11,22039
{0000003A-0000-0000-0000000000000000},202,1998-03-17,06:32:00.000000,Gate 11,14274
{0000003B-0000-0000-0000000000000000},207,1998-05-06,09:04:00.000000,Gate 11,15958
{0000003C-0000-0000-0000000000000000},301,1998-05-08,08:58:00.000000,Gate 11,14514
{0000003D-0000-0000-0000000000000000},5,1998-12-17,08:26:00.000000,Gate 11,17500
{0000003E-0000-0000-0000000000000000},6,1998-12-21,09:00:00.000000,Gate 11,12978
{0000003F-0000-0000-0000000000000000},8,1999-01-05,09:28:00.000000,Gate 11,7612
{00000040-0000-0000-0000000000000000},9,1999-01-09,09:14:00.000000,Gate 11,7546
{00000041-0000-0000-0000000000000000},10,1999-01-13,09:16:00.000000,Gate 11,7500
{00000042-0000-0000-0000000000000000},11,1999-01-28,09:10:00.000000,Gate 11,15364
{00000043-0000-0000-0000000000000000},11,1999-01-29,09:13:00.000000,Gate 11,15505
{00000044-0000-0000-0000000000000000},12,1999-02-02,07:43:00.000000,Gate 11,9980
{00000045-0000-0000-0000000000000000},12,1999-02-03,07:45:00.000000,Gate 11,10035
{00000046-0000-0000-0000000000000000},208,1999-04-06,09:13:00.000000,Gate 11,10540
{00000047-0000-0000-0000000000000000},14,1999-04-11,09:14:00.000000,Gate 11,14215
{00000048-0000-0000-0000000000000000},302,1999-04-26,09:38:00.000000,Gate 11,11593
{00000049-0000-0000-0000000000000000},16,1999-05-12,09:18:00.000000,Gate 11,12981
{0000004A-0000-0000-0000000000000000},17,1999-05-12,09:18:00.000000,Gate 11,12981
{0000004B-0000-0000-0000000000000000},18,1999-06-09,06:30:00.000000,Gate 11,10683
{0000004C-0000-0000-0000000000000000},19,1999-06-12,09:18:00.000000,Gate 11,10223
{0000004D-0000-0000-0000000000000000},20,1999-06-17,08:38:00.000000,Gate 11,10744
{0000004E-0000-0000-0000000000000000},20,1999-06-18,08:37:00.000000,Gate 11,10805
{0000004F-0000-0000-0000000000000000},21,1999-06-19,08:40:00.000000,Gate 11,11256
{00000050-0000-0000-0000000000000000},22,1999-06-23,05:54:00.000000,Gate 11,11676
{00000051-0000-0000-0000000000000000},22,1999-06-25,08:28:00.000000,Gate 11,12324
{00000052-0000-0000-0000000000000000},23,1999-06-26,08:15:00.000000,Gate 11,12301
{00000053-0000-0000-0000000000000000},24,1999-06-30,06:01:00.000000,Gate 11,12922
{00000054-0000-0000-0000000000000000},25,1999-07-05,08:53:00.000000,Gate 11,11994
{00000055-0000-0000-0000000000000000},26,1999-07-16,08:38:00.000000,Gate 11,12352
{00000056-0000-0000-0000000000000000},27,1999-07-22,08:36:00.000000,Gate 11,12385
{00000057-0000-0000-0000000000000000},27,1999-07-23,08:27:00.000000,Gate 11,12156
{00000058-0000-0000-0000000000000000},28,1999-07-26,08:28:00.000000,Gate 11,12184
{00000059-0000-0000-0000000000000000},29,1999-07-31,08:50:00.000000,Gate 11,11886
{0000005A-0000-0000-0000000000000000},30,1999-08-04,08:34:00.000000,Gate 11,11514
{0000005B-0000-0000-0000000000000000},30,1999-08-05,08:57:00.000000,Gate 11,10963
{0000005C-0000-0000-0000000000000000},31,1999-08-07,07:38:00.000000,Gate 11,9717
{0000005D-0000-0000-0000000000000000},31,1999-08-10,08:35:00.000000,Gate 11,9704
{0000005E-0000-0000-0000000000000000},32,1999-08-12,08:49:00.000000,Gate 11,9174
{0000005F-0000-0000-0000000000000000},32,1999-08-14,08:42:00.000000,Gate 11,8695
{00000060-0000-0000-0000000000000000},33,1999-08-17,08:36:00.000000,Gate 11,8341
{00000061-0000-0000-0000000000000000},33,1999-08-17,08:41:00.000000,Gate 11,8341
{00000062-0000-0000-0000000000000000},216,2000-03-22,18:35:00.000000,Gate 11,13082
{00000063-0000-0000-0000000000000000},216,2000-03-23,06:31:00.000000,Gate 11,13876
{00000064-0000-0000-0000000000000000},217,2000-03-23,06:31:00.000000,Gate 11,13876
{00000065-0000-0000-0000000000000000},217,2000-03-23,18:30:00.000000,Gate 11,13876
{00000066-0000-0000-0000000000000000},218,2000-03-28,18:42:00.000000,Gate 11,9997
{00000067-0000-0000-0000000000000000},218,2000-03-29,06:49:00.000000,Gate 11,10054
{00000068-0000-0000-0000000000000000},219,2000-03-29,06:49:00.000000,Gate 11,10054
{00000069-0000-0000-0000000000000000},219,2000-04-02,09:21:00.000000,Gate 11,8958
{0000006A-0000-0000-0000000000000000},201,1998-03-10,09:25:00.000000,Gate 2,22039
{0000006B-0000-0000-0000000000000000},202,1998-03-17,06:50:00.000000,Gate 2,14274
{0000006C-0000-0000-0000000000000000},202,1998-03-17,18:18:00.000000,Gate 2,14274
{0000006E-0000-0000-0000000000000000},205,1998-04-21,08:51:00.000000,Gate 2,14946
{0000006F-0000-0000-0000000000000000},205,1998-04-22,09:01:00.000000,Gate 2,14944
{00000070-0000-0000-0000000000000000},206,1998-04-28,09:15:00.000000,Gate 2,14216
{00000071-0000-0000-0000000000000000},206,1998-04-29,09:09:00.000000,Gate 2,14254
{00000072-0000-0000-0000000000000000},301,1998-05-08,09:13:00.000000,Gate 2,14514
{00000073-0000-0000-0000000000000000},5,1998-12-17,07:46:00.000000,Gate 2,17500
{00000074-0000-0000-0000000000000000},6,1998-12-21,08:41:00.000000,Gate 2,12978
{00000075-0000-0000-0000000000000000},7,1998-12-29,08:51:00.000000,Gate 2,8934
{00000076-0000-0000-0000000000000000},8,1999-01-05,09:32:00.000000,Gate 2,7612
{00000077-0000-0000-0000000000000000},8,1999-01-06,09:44:00.000000,Gate 2,7607
{00000078-0000-0000-0000000000000000},8,1999-01-07,08:57:00.000000,Gate 2,7611
{00000079-0000-0000-0000000000000000},9,1999-01-09,08:41:00.000000,Gate 2,7546
{0000007A-0000-0000-0000000000000000},9,1999-01-10,08:43:00.000000,Gate 2,7402
{0000007B-0000-0000-0000000000000000},10,1999-01-13,09:26:00.000000,Gate 2,7500
{0000007C-0000-0000-0000000000000000},10,1999-01-13,09:26:00.000000,Gate 2,7500
{0000007D-0000-0000-0000000000000000},10,1999-01-14,08:56:00.000000,Gate 2,7499
{0000007E-0000-0000-0000000000000000},11,1999-01-28,08:46:00.000000,Gate 2,15364
{0000007F-0000-0000-0000000000000000},12,1999-02-02,07:25:00.000000,Gate 2,9980
{00000080-0000-0000-0000000000000000},12,1999-02-02,07:25:00.000000,Gate 2,9980
{00000081-0000-0000-0000000000000000},12,1999-02-03,07:26:00.000000,Gate 2,10035
{00000082-0000-0000-0000000000000000},13,1999-03-24,05:58:00.000000,Gate 2,11242
{00000083-0000-0000-0000000000000000},208,1999-04-06,08:42:00.000000,Gate 2,10540
{00000084-0000-0000-0000000000000000},208,1999-04-08,08:52:00.000000,Gate 2,9417
{00000085-0000-0000-0000000000000000},14,1999-04-11,08:42:00.000000,Gate 2,14215
{00000086-0000-0000-0000000000000000},302,1999-04-26,09:04:00.000000,Gate 2,11593
{00000087-0000-0000-0000000000000000},303,1999-05-04,09:32:00.000000,Gate 2,12768
{00000088-0000-0000-0000000000000000},304,1999-05-05,09:36:00.000000,Gate 2,12463
{00000089-0000-0000-0000000000000000},15,1999-05-11,19:45:00.000000,Gate 2,12952
{0000008A-0000-0000-0000000000000000},16,1999-05-12,08:45:00.000000,Gate 2,12981
{0000008B-0000-0000-0000000000000000},15,1999-05-14,08:51:00.000000,Gate 2,12950
{0000008C-0000-0000-0000000000000000},211,1999-10-27,08:50:00.000000,Gate 2,7090
{0000008D-0000-0000-0000000000000000},212,1999-10-27,08:50:00.000000,Gate 2,7090
{0000008E-0000-0000-0000000000000000},212,1999-10-28,08:45:00.000000,Gate 2,7066
{0000008F-0000-0000-0000000000000000},34,1999-12-22,09:58:00.000000,Gate 2,6931
{00000090-0000-0000-0000000000000000},34,1999-12-23,08:18:00.000000,Gate 2,6952
{00000091-0000-0000-0000000000000000},35,1999-12-29,09:34:00.000000,Gate 2,6756
{00000092-0000-0000-0000000000000000},35,1999-12-30,09:06:00.000000,Gate 2,6775
{00000093-0000-0000-0000000000000000},36,2000-01-03,09:27:00.000000,Gate 2,6473
{00000094-0000-0000-0000000000000000},36,2000-01-04,07:53:00.000000,Gate 2,6424
{00000095-0000-0000-0000000000000000},215,2000-01-09,09:25:00.000000,Gate 2,6021
{00000096-0000-0000-0000000000000000},216,2000-03-22,18:27:00.000000,Gate 2,13082
{00000097-0000-0000-0000000000000000},216,2000-03-23,06:09:00.000000,Gate 2,13876
{00000098-0000-0000-0000000000000000},217,2000-03-23,06:09:00.000000,Gate 2,13876
{00000099-0000-0000-0000000000000000},217,2000-03-23,18:21:00.000000,Gate 2,13876
{0000009A-0000-0000-0000000000000000},218,2000-03-28,18:21:00.000000,Gate 2,9997
{0000009B-0000-0000-0000000000000000},218,2000-03-29,06:32:00.000000,Gate 2,10054
{0000009C-0000-0000-0000000000000000},219,2000-03-29,06:32:00.000000,Gate 2,10054
{0000009D-0000-0000-0000000000000000},219,2000-03-29,18:22:00.000000,Gate 2,10054
{0000009E-0000-0000-0000000000000000},218,2000-03-30,05:49:00.000000,Gate 2,9801
{0000009F-0000-0000-0000000000000000},219,2000-03-30,05:49:00.000000,Gate 2,9801
{000000A0-0000-0000-0000000000000000},219,2000-04-01,08:26:00.000000,Gate 2,9832
{000000A1-0000-0000-0000000000000000},202,1998-03-17,06:44:00.000000,Gate 3,14274
{000000A2-0000-0000-0000000000000000},203,1998-03-31,13:14:00.000000,Gate 3,36293
{000000A3-0000-0000-0000000000000000},204,1998-04-14,07:03:00.000000,Gate 3,14612
{000000A5-0000-0000-0000000000000000},205,1998-04-21,09:00:00.000000,Gate 3,14946
{000000A6-0000-0000-0000000000000000},206,1998-04-28,09:08:00.000000,Gate 3,14216
{000000A7-0000-0000-0000000000000000},207,1998-05-06,09:31:00.000000,Gate 3,15958
{000000A8-0000-0000-0000000000000000},301,1998-05-08,09:11:00.000000,Gate 3,14514
{000000A9-0000-0000-0000000000000000},3,1998-08-11,06:20:00.000000,Gate 3,14959
{000000AA-0000-0000-0000000000000000},18,1999-06-09,06:06:00.000000,Gate 3,10683
{000000AB-0000-0000-0000000000000000},19,1999-06-12,09:35:00.000000,Gate 3,10223
{000000AC-0000-0000-0000000000000000},20,1999-06-17,08:55:00.000000,Gate 3,10744
{000000AD-0000-0000-0000000000000000},21,1999-06-19,08:52:00.000000,Gate 3,11256
{000000AE-0000-0000-0000000000000000},22,1999-06-23,06:05:00.000000,Gate 3,11676
{000000AF-0000-0000-0000000000000000},22,1999-06-25,08:25:00.000000,Gate 3,12324
{000000B0-0000-0000-0000000000000000},25,1999-07-05,09:08:00.000000,Gate 3,11994
{000000B1-0000-0000-0000000000000000},25,1999-07-08,06:01:00.000000,Gate 3,12057
{000000B2-0000-0000-0000000000000000},26,1999-07-18,09:18:00.000000,Gate 3,12567
{000000B3-0000-0000-0000000000000000},27,1999-07-22,08:46:00.000000,Gate 3,12385
{000000B4-0000-0000-0000000000000000},28,1999-07-26,08:44:00.000000,Gate 3,12184
{000000B5-0000-0000-0000000000000000},29,1999-07-31,09:12:00.000000,Gate 3,11886
{000000B6-0000-0000-0000000000000000},29,1999-08-02,08:56:00.000000,Gate 3,11538
{000000B7-0000-0000-0000000000000000},30,1999-08-04,08:40:00.000000,Gate 3,11514
{000000B8-0000-0000-0000000000000000},31,1999-08-07,07:54:00.000000,Gate 3,9717
{000000B9-0000-0000-0000000000000000},32,1999-08-12,09:17:00.000000,Gate 3,9174
{000000BA-0000-0000-0000000000000000},33,1999-08-17,09:17:00.000000,Gate 3,8341
{000000BB-0000-0000-0000000000000000},201,1998-03-10,09:18:00.000000,Gate 4,22039
{000000BC-0000-0000-0000000000000000},5,1998-12-17,08:06:00.000000,Gate 4,17500
{000000BD-0000-0000-0000000000000000},6,1998-12-21,08:49:00.000000,Gate 4,12978
{000000BE-0000-0000-0000000000000000},7,1998-12-29,08:59:00.000000,Gate 4,8934
{000000BF-0000-0000-0000000000000000},7,1998-12-30,08:52:00.000000,Gate 4,8933
{000000C0-0000-0000-0000000000000000},8,1999-01-05,09:46:00.000000,Gate 4,7612
{000000C1-0000-0000-0000000000000000},8,1999-01-06,09:31:00.000000,Gate 4,7607
{000000C2-0000-0000-0000000000000000},8,1999-01-07,09:08:00.000000,Gate 4,7611
{000000C3-0000-0000-0000000000000000},8,1999-01-08,09:00:00.000000,Gate 4,7600
{000000C4-0000-0000-0000000000000000},9,1999-01-09,08:53:00.000000,Gate 4,7546
{000000C5-0000-0000-0000000000000000},9,1999-01-10,08:55:00.000000,Gate 4,7402
{000000C6-0000-0000-0000000000000000},10,1999-01-13,09:38:00.000000,Gate 4,7500
{000000C7-0000-0000-0000000000000000},10,1999-01-14,08:44:00.000000,Gate 4,7499
{000000C8-0000-0000-0000000000000000},11,1999-01-28,08:54:00.000000,Gate 4,15364
{000000C9-0000-0000-0000000000000000},12,1999-02-02,07:31:00.000000,Gate 4,9980
{000000CA-0000-0000-0000000000000000},13,1999-03-24,06:03:00.000000,Gate 4,11242
{000000CB-0000-0000-0000000000000000},208,1999-04-06,08:54:00.000000,Gate 4,10540
{000000CC-0000-0000-0000000000000000},208,1999-04-07,08:56:00.000000,Gate 4,10122
{000000CD-0000-0000-0000000000000000},14,1999-04-11,08:59:00.000000,Gate 4,14215
{000000CE-0000-0000-0000000000000000},302,1999-04-26,09:22:00.000000,Gate 4,11593
{000000CF-0000-0000-0000000000000000},302,1999-04-26,09:33:00.000000,Gate 4,11593
{000000D0-0000-0000-0000000000000000},303,1999-05-04,09:56:00.000000,Gate 4,12768
{000000D1-0000-0000-0000000000000000},304,1999-05-05,09:50:00.000000,Gate 4,12463
{000000D2-0000-0000-0000000000000000},15,1999-05-11,19:45:00.000000,Gate 4,12952
{000000D3-0000-0000-0000000000000000},16,1999-05-12,08:57:00.000000,Gate 4,12981
{000000D4-0000-0000-0000000000000000},17,1999-05-12,08:57:00.000000,Gate 4,12981
{000000D5-0000-0000-0000000000000000},217,2000-03-26,09:02:00.000000,Gate 4,10690
{000000D6-0000-0000-0000000000000000},218,2000-03-28,18:28:00.000000,Gate 4,9997
{000000D7-0000-0000-0000000000000000},218,2000-03-29,06:39:00.000000,Gate 4,10054
{000000D8-0000-0000-0000000000000000},219,2000-03-29,06:39:00.000000,Gate 4,10054
{000000D9-0000-0000-0000000000000000},218,2000-03-29,18:28:00.000000,Gate 4,10054
{000000DA-0000-0000-0000000000000000},219,2000-03-29,18:28:00.000000,Gate 4,10054
{000000DB-0000-0000-0000000000000000},219,2000-03-30,05:54:00.000000,Gate 4,9801
{000000DC-0000-0000-0000000000000000},209,1999-10-19,07:58:00.000000,Gate 5,8241
{000000DD-0000-0000-0000000000000000},209,1999-10-19,18:54:00.000000,Gate 5,8241
{000000DE-0000-0000-0000000000000000},210,1999-10-20,08:37:00.000000,Gate 5,6797
{000000DF-0000-0000-0000000000000000},211,1999-10-26,17:50:00.000000,Gate 5,7033
{000000E0-0000-0000-0000000000000000},211,1999-10-27,08:44:00.000000,Gate 5,7090
{000000E1-0000-0000-0000000000000000},212,1999-10-27,08:44:00.000000,Gate 5,7090
{000000E2-0000-0000-0000000000000000},213,1999-11-03,07:05:00.000000,Gate 5,7234
{000000E3-0000-0000-0000000000000000},214,1999-11-04,07:23:00.000000,Gate 5,7243
{000000E4-0000-0000-0000000000000000},34,1999-12-22,09:31:00.000000,Gate 5,6931
{000000E5-0000-0000-0000000000000000},35,1999-12-29,09:21:00.000000,Gate 5,6756
{000000E6-0000-0000-0000000000000000},35,1999-12-30,08:57:00.000000,Gate 5,6775
{000000E7-0000-0000-0000000000000000},36,2000-01-03,09:18:00.000000,Gate 5,6473
{000000E8-0000-0000-0000000000000000},215,2000-01-09,09:16:00.000000,Gate 5,6021
{000000E9-0000-0000-0000000000000000},215,2000-01-11,10:59:00.000000,Gate 5,5953
{000000EA-0000-0000-0000000000000000},209,1999-10-19,07:52:00.000000,Gate 6,8241
{000000EB-0000-0000-0000000000000000},210,1999-10-19,18:37:00.000000,Gate 6,8241
{000000EC-0000-0000-0000000000000000},209,1999-10-20,08:31:00.000000,Gate 6,6797
{000000ED-0000-0000-0000000000000000},210,1999-10-20,08:31:00.000000,Gate 6,6797
{000000EE-0000-0000-0000000000000000},211,1999-10-27,08:33:00.000000,Gate 6,7090
{000000EF-0000-0000-0000000000000000},212,1999-10-27,08:33:00.000000,Gate 6,7090
{000000F0-0000-0000-0000000000000000},212,1999-10-28,08:25:00.000000,Gate 6,7066
{000000F1-0000-0000-0000000000000000},213,1999-11-03,06:59:00.000000,Gate 6,7234
{000000F2-0000-0000-0000000000000000},214,1999-11-04,07:11:00.000000,Gate 6,7243
{000000F3-0000-0000-0000000000000000},34,1999-12-22,09:01:00.000000,Gate 6,6931
{000000F4-0000-0000-0000000000000000},34,1999-12-23,08:44:00.000000,Gate 6,6952
{000000F5-0000-0000-0000000000000000},35,1999-12-29,09:10:00.000000,Gate 6,6756
