mark_sample_row_id,trial_id,traps_fished,mark_code,mark_date,mark_time,release_site,release_date,release_time,num_measured,num_morts,num_marked,num_released,num_recap,cone,gates,mean_turbidity,run_designation,excluded,comments
{97E1B4AB-BE32-475A-BA19C19B7408D5B3},001_16,4,B,2016-02-03,11:44:00.000000,Pizza,2016-02-03,17:30:00.000000,50,0,1310,1306,53,1,OUT,10.36,Fall,N,4 fish not released due to post mark mortality
{2DBF558A-B678-4409-840D2C8C5DB1DC1F},001_18,3,B,2018-10-09,10:00:00.000000,Pizza,2018-10-09,19:20:00.000000,240,5,1182,1177,45,1,OUT,2.48,Winter,N,Trap 6 excluded from trial; therefore model shows 45 recaps; TE = 3.82 %Q = 2.972
{6CDADB9E-3620-4C56-92960C77FAFB2469},001_19,4,B,2019-08-27,11:20:00.000000,Pizza,2019-08-27,20:04:00.000000,80,7,896,889,45,1,OUT,2.96,Winter,N,Fish held overnight from SID 238 for mark. Fish from SIDs 238 & 239 used for mark. Trap 6 excluded from trial.
{FB0DD726-1701-41A8-8304C9F32CB600A2},001_20,4,B,2020-01-09,12:20:00.000000,Pizza,2020-01-09,17:12:00.000000,100,3,1172,1168,62,1,OUT,2.55,Fall,N,"1172 marked fish, 3 morts and 1 weak excluded"
{38F17844-4C6A-4DE1-9B02EA847834CFB4},002_16,4,B,2016-02-08,16:13:00.000000,Pizza,2016-02-09,17:35:00.000000,94,2,1465,1442,66,1,OUT,4.5999999,Fall,N,2 morts during the marking process; 20 morts and 3 weak excluded from release group
{A28DB4C3-93B9-4466-8070E99DDCA90EA5},002_18,3,B,2018-10-11,12:49:00.000000,Pizza,2018-10-11,18:33:00.000000,150,10,1259,1247,48,1,OUT,2.53,Winter,N,Trap 6 excluded from trial; Therefore 48 recaps; TE = 3.85 & %Q = 2.6353
{E686DF25-8D0D-40A6-B5CCE755970892DD},002_19,4,B,2019-09-03,11:00:00.000000,Pizza,2019-09-03,19:40:00.000000,93,4,966,962,42,1,OUT,2.8299999,Winter,N,"Fish held overnight, then marked the following day and released the evening of mark. Trap 6 excluded from trial"
{67548B68-4D80-46CA-976C241184A4F812},002_20,4,B,2020-01-23,14:50:00.000000,Pizza,2020-01-23,17:16:00.000000,143,3,1753,1745,28,0.5,OUT,4.0900002,Fall,N,Fish marked in higher turbidity than usual. Sample taken and read 10.8 NTUs
{74446808-878D-4EF9-A14AA08ABCA5135A},003_16,4,B,2016-02-12,12:15:00.000000,Pizza,2016-02-13,17:45:00.000000,129,0,1178,1155,73,1,OUT,3.8,Fall,N,23 fish not released; 16 morts and 7 weak
{597D399F-F484-4948-900504322E7CE202},003_18,3,B,2018-10-17,13:05:00.000000,Pizza,2018-10-17,18:36:00.000000,130,9,1157,1147,29,NA,OUT,2.54,Winter,N,Used combination of fish held in TCs and fish processed that morning.Trap 6 excluded from trial. Therefore 30 recaps; TE = 2.616 & %Q = 2.8441
{4640B5FE-6106-4EA0-B37BBF2911D35F1D},003_19,4,B,2019-09-05,11:03:00.000000,Pizza,2019-09-05,19:40:00.000000,123,5,1033,1031,33,NA,OUT,2.78,Winter,N,Fish held overnight and fish held day of the mark were used for this trial. Trap 6 excluded from trial
{C65A8F2A-3B06-4D18-836681AA5785C280},003_20,4,B,2020-01-29,13:18:00.000000,Pizza,2020-01-29,17:35:00.000000,141,20,1738,1717,23,0.5,OUT,4.1199999,Fall,N,
{B69C0163-EF3A-4313-970D85B094483531},004_18,4,B,2018-12-27,18:00:00.000000,Pizza,2018-12-28,16:55:00.000000,135,4,1087,1073,41,1,OUT,2.96,Fall,N,
{38F5FB0F-359B-46BC-B6F92FE02AA48D23},004_19,4,B,2019-09-10,11:15:00.000000,Pizza,2019-09-10,19:34:00.000000,106,6,1018,1018,44,NA,OUT,3.0875001,Winter,N,Fish held overnight; marked in morning and released day of mark. Trap 6 excluded from trial
{7B2109AF-EBA6-47BA-8F46F3CE6A542E37},004_20,4,B,2020-02-11,11:28:00.000000,Pizza,2020-02-11,17:42:00.000000,141,4,1749,1743,41,NA,OUT,1.99,Fall,N,"4 morts, 2 weak excluded post mark"
{52EC9830-950B-4825-ACF79625A68D9660},005_18,3,B,2018-12-30,11:20:00.000000,Pizza,2018-12-30,16:59:00.000000,161,8,1100,1090,32,0.5,OUT,2.4000001,Fall,N,"Four traps were fished but trap 1 was deemed compromised due to LWD, a NR condition and only 1500 revolutions on the counter."
{D19EB19F-6B54-4EE8-800FA75C73083BE2},005_19,4,B,2019-09-16,11:36:00.000000,Pizza,2019-09-16,19:16:00.000000,99,3,1047,1044,49,1,OUT,3.26,Winter,N,Fish held overnight; marked and released day of the mark. Trap 6 excluded from trial
{EA9AFD4E-92A7-4205-866C7B209F97080B},005_20,4,B,2020-02-18,11:42:00.000000,Pizza,2020-02-18,17:45:00.000000,77,6,1096,1087,37,1,OUT,1.7,Fall,N,6 morts and 3 weak excluded post mark
{2316FA45-B221-4111-86CC05334A3CC281},006_19,4,B,2019-09-24,10:25:00.000000,Pizza,2019-09-24,19:00:00.000000,183,5,956,955,27,NA,OUT,2.8499999,Winter,N,Plus count fish held overnight and marked the next day; fish released day of mark. Trap 6 excluded from trial
{C7BEA3C2-821B-4988-80FF5A3FAE7B98AD},006_20,5,B,2020-09-17,11:20:00.000000,Pizza,2020-09-17,19:15:00.000000,118,8,867,866,39,1,OUT,1.492,Winter,N,Fish Held from Sid 260 + 261; marked and released on 9/17/20 for SID 261
{C5180E35-BF48-4E6E-A04B1DAA1BA8768C},007_19,4,B,2019-10-01,10:37:00.000000,Pizza,2019-10-01,18:57:00.000000,127,5,1133,1127,27,NA,OUT,2.52,Winter,N,Fish held overnight; marked next day and released day of the mark. Trap 6 excluded from trial
{E27D6216-544D-4A91-AE8C2A4B408466AD},007_20,5,B,2020-09-22,10:30:00.000000,Pizza,2020-09-22,19:05:00.000000,89,8,981,973,39,1,OUT,1.467,Winter,N,
{A51854CE-AD17-4597-AA27FA9FD10FFD63},008_19,4,B,2019-10-08,11:18:00.000000,Pizza,2019-10-08,18:40:00.000000,142,5,942,940,47,1,OUT,2.8199999,Winter,N,Fish held overnight; marked next day and released day of the mark. Trap 6 excluded from trial
{CAA3AF53-18FD-4B9C-854E2B628948B371},008_20,5,B,2020-09-24,09:32:00.000000,Pizza,2020-09-24,19:05:00.000000,137,12,854,853,47,1,OUT,1.478,Winter,N,
{BDA83F5E-06B1-4F7D-B631F4281B3336C2},009_19,4,B,2019-10-22,10:38:00.000000,Pizza,2019-10-22,18:16:00.000000,166,7,951,947,26,NA,OUT,2.8499999,Winter,N,"Combination of LAD WCS & LAD SCS used for trial; number calculated based on proportion of the measured fish--WCS = 855.904, SCS = 104.096  Trap 6 excluded from trial"
{9DEF95D7-BD29-4BF3-809044225EEE72A9},009_20,4,B,2020-09-30,11:38:00.000000,Pizza,2020-09-30,18:54:00.000000,143,3,870,868,59,1,OUT,1.34,Winter,N,
{2B0C5F95-CC4D-426A-A4F62E2B8004FFD1},010_19,4,B,2019-11-14,11:43:00.000000,Pizza,2019-11-14,17:20:00.000000,145,8,623,617,16,1,OUT,2.29,Winter,N,Combination of LAD SCS & LAD WCS used for trial; number calculated based on proportion of the measured fish--WCS = 568.490  SCS = 70.510  Trap 6 excluded from trial
{2AE62B47-79B3-4BEC-85AECE80804B95F5},0102,4,B,2002-06-26,14:10:00.000000,Pizza,2002-06-26,20:45:00.000000,72,0,NA,805,8,0.5,IN,1.4,Fall,N,Fish orgin was changed to BOTH assuming that a majority of these fish were made up of unmarked CNFH production release group.
{F2B11B69-B596-491A-ADDF546B3B9700C1},0103,4,B,2003-01-28,15:33:00.000000,Pizza,2003-01-28,18:15:00.000000,150,79,NA,5143,33,0.5,OUT,6.5,Fall,N,
{DDCE68DE-C657-426F-B4DD932F64818999},0104,4,B,2004-01-17,10:53:00.000000,Pizza,2004-01-18,17:00:00.000000,158,5,NA,2074,26,0.5,OUT,2.7,Fall,N,
{B2DB2666-D65D-41FC-B1E123454627D718},0105,4,B,2005-01-23,09:52:00.000000,Pizza,2005-01-23,17:05:00.000000,155,0,NA,1283,41,1,OUT,2.45,Fall,N,
{A8FD2B42-1D96-4DA0-A2651D9F9A725B2E},0106,4,B,2006-02-14,13:38:00.000000,Pizza,2006-02-15,17:55:00.000000,191,0,1625,1610,33,1,OUT,6.5,Fall,N,15 fish were found swimming in pen after fish were released. These fish were counted and then released downstream of ramp and dam.
{D354DE48-B168-455A-98D77CD6523248FD},0107,4,B,2007-01-20,14:00:00.000000,Pizza,2007-01-21,15:40:00.000000,0,5,1525,1520,33,1,OUT,1.3,Fall,N,
{6F430A75-31E3-4967-9ECFC11DF448B8C4},0108,4,B,2008-01-23,14:05:00.000000,Pizza,2008-01-23,17:35:00.000000,242,4,2242,2234,50,1,OUT,4.9000001,Fall,N,"8 fish not released,4 dead,4 weak."
{2DA7D548-9903-469F-82D7114832502CE2},0109,4,B,2009-01-22,13:30:00.000000,Pizza,2009-01-23,17:17:00.000000,80,13,1938,1923,54,1,OUT,2.0999999,Fall,N,Trial completed during a hatchery release of CHNA Late-Falls. Exclude trial from Model.
{3378A125-511A-4FE3-B67B393CAF3250EE},0111,4,B,2011-01-19,12:07:00.000000,Pizza,2011-01-20,17:00:00.000000,100,8,1842,1834,79,1,OUT,8.1000004,Fall,N,Split into 4 live cars. Also 28 fish were released below the boat ramp before mark. 8 marked fish died before release.
{E90C46BF-98A3-40DE-955BAD18C39AED80},0112,4,B,2012-01-29,16:15:00.000000,Pizza,2012-01-30,17:25:00.000000,98,12,1331,1319,46,1,OUT,2.7,Fall,N,
{1FBF2683-CF74-4170-8C6CCA734DB99F02},0113,4,B,2013-01-15,12:25:00.000000,Pizza,2013-01-16,17:11:00.000000,123,11,2002,1991,72,0.5,OUT,7.3200002,Fall,N,Recapped fish were worked up during a pm clearing.  Therefore there are two entries per SID during this trial.
{23458F02-23C0-43D7-B95C207D5639FA61},0114,3,B,2013-12-31,11:43:00.000000,Pizza,2014-01-01,16:56:00.000000,138,10,1018,1008,30,0.5,OUT,1.5700001,Fall,N,
{952C592F-3D51-41D8-BF7E4E6EEF515796},0115,3,B,2015-01-20,12:05:00.000000,Pizza,2015-01-20,17:15:00.000000,64,6,1700,1691,44,1,OUT,14.3,Fall,Y,
{CBC194E7-1270-42E3-97FED00BE2DFC355},0202,4,B,2002-08-05,10:23:00.000000,Pizza,2002-08-06,21:04:00.000000,62,27,NA,743,16,0.5,IN,1.15,Late Fall,N,
{9ED036FA-E407-41DC-A932A6249A2FC973},0203,4,B,2003-02-04,14:25:00.000000,Pizza,2003-02-05,17:20:00.000000,145,28,NA,2942,10,0.5,OUT,2.7,Fall,N,
{21029F05-46DB-4C4F-9DE2198ACE347276},0204,4,B,2004-01-23,10:44:00.000000,Pizza,2004-01-24,17:00:00.000000,154,2,NA,2018,36,0.5,OUT,1.6,Fall,N,
{D361D1AE-901E-421B-AA10494204EC7CF4},0205,3,B,2005-01-31,12:05:00.000000,Pizza,2005-02-01,17:14:00.000000,198,15,NA,1971,31,0.5,OUT,3.0799999,Fall,N,
{645AEEE4-1BEC-422C-89288CBEF39CD1F0},0206,4,B,2006-02-22,13:30:00.000000,Pizza,2006-02-23,17:50:00.000000,151,20,1523,1503,38,1,OUT,3.23,Fall,N,"20 fish were found dead in the live car, these fish were released downstream from dam and traps."
{A4963E8F-74FA-4769-B5A47BA1AF5D218A},0207,4,B,2007-01-27,14:45:00.000000,Pizza,2007-01-28,17:20:00.000000,86,12,2000,1987,18,0.5,OUT,1.62,Fall,N,12 morts and one weak not released.
{CBE96FAB-3B54-41F7-9E195AD451E73FB2},0208,4,B,2008-02-06,15:06:00.000000,Pizza,2008-02-07,17:46:00.000000,106,9,2333,2324,60,0.5,OUT,5.6999998,Fall,N,
{2C51CAEF-C584-4729-87CCFB946E2CE48D},0209,4,B,2009-02-04,13:00:00.000000,Pizza,2009-02-05,17:44:00.000000,80,19,1887,1868,58,1,OUT,2.5999999,Fall,N,
{FE11CBB6-71AC-4D9A-94A6D05AFA96D7EA},0211,4,B,2011-01-25,15:24:00.000000,Pizza,2011-01-26,17:14:00.000000,190,10,2000,1989,109,1,OUT,3.7,Fall,N,A weak fish wasn't released as well as the 10 morts.
{9B11DF24-C44F-41BF-8D26A8396AC20FA3},0212,4,B,2012-02-03,12:38:00.000000,Pizza,2012-02-04,17:35:00.000000,206,11,1159,1146,51,1,OUT,2.4000001,Fall,N,2 fish were not released due to weakness.
{26437B33-2A89-4A2C-81AF5112D34C3F57},0213,4,B,2013-01-22,13:33:00.000000,Pizza,2013-01-23,17:18:00.000000,115,15,1990,1965,39,0.5,OUT,32.3475,Fall,N,10 Marked fish were held to see how well the Alesor Alefso dye worked.  A flow event increased the turbidity during the second day of the trial.  Turbidity increased from 6.67 to 58.03 NTUs.
{947EA871-7949-4229-9C5DCAFA4D94773E},0214,3,B,2014-02-03,15:20:00.000000,Pizza,2014-02-04,17:30:00.000000,118,17,1500,1453,23,0.5,OUT,1.96,Fall,N,
{34BFF8F5-1341-4903-86DDCED89A766DAB},0215,3,B,2015-01-27,11:01:00.000000,Pizza,2015-01-27,17:14:00.000000,373,4,1064,1057,21,1,OUT,11.9,Fall,Y,Fish were not remeasured for the mark recapture experiment to reduce the stress on them with the short time frame between the mark and release.  Also fish numbers were lower than expected so we need all fish to increase numbers to release for the trial.
{B05215DF-1B6C-4A6B-AC7A227CE65E60FE},0302,3,B,2002-08-20,08:00:00.000000,Pizza,2002-08-20,20:00:00.000000,153,23,NA,340,7,0.5,IN,1.1,Late Fall,N,
{41615E82-6D54-4527-82D5F4AB063E08BF},0303,4,B,2003-02-09,14:02:00.000000,Pizza,2003-02-10,18:10:00.000000,150,16,NA,3106,29,0.5,OUT,3,Winter,N,
{F2FB7B89-B909-47F6-983F42A6A111EF2E},0304,4,B,2004-01-30,10:00:00.000000,Pizza,2004-01-31,17:00:00.000000,157,1,NA,2024,33,0.5,OUT,2.5,Fall,N,
{9852257B-6563-4B91-9DC1316D792AF219},0305,4,B,2005-02-09,10:49:00.000000,Pizza,2005-02-10,17:15:00.000000,318,4,NA,1763,46,1,OUT,2.1099999,Fall,N,
{B80659C1-731C-44F0-93EAE5F59695E237},0307,3,B,2007-02-04,12:00:00.000000,Pizza,2007-02-05,17:45:00.000000,85,32,2945,2909,29,0.5,OUT,1.51,Fall,N,32 morts and 3 weak fish weren't released
{FEFAE3DB-81D3-48EA-8B3FDC613E468218},0308,4,B,2008-02-13,14:20:00.000000,Pizza,2008-02-14,17:50:00.000000,116,8,2001,1993,83,NA,OUT,4.3000002,Fall,N,Traps on gates 3 and 8 fished at 100% and Traps on gates 6 and 7 fished at 50%.
{A4BABFA5-EA66-4714-98C053E83F4821EE},0311,4,B,2011-01-31,14:15:00.000000,Pizza,2011-02-01,17:12:00.000000,259,9,1602,1593,61,1,OUT,2.8,Fall,N,
{47FCBC9E-C8DD-4585-845B97B7481D7AC1},0312,4,B,2012-02-15,04:42:00.000000,Pizza,2012-02-16,17:45:00.000000,139,57,1523,1465,73,1,OUT,2,Fall,N,One weak fish was not released.
{56DF61C4-FAA2-4D89-828AD45126F2469A},0313,4,B,2013-01-29,12:14:00.000000,Pizza,2013-01-30,17:25:00.000000,174,21,2002,1981,44,0.5,OUT,6.2600002,Fall,N,10 Recaps were kept for dye retention study.  Photos were take and the were placed in Live Car #P.
{BFDF344C-B30A-4848-BA10AD05FD6BD54C},0315,4,B,2015-02-03,11:27:00.000000,Pizza,2015-02-03,17:36:00.000000,98,2,856,851,65,1,OUT,10.2,Fall,N,First recap at 18:55 on trap 7.  Full moon obscured by cloud cover till 20:00.
{3AFA6DBF-162B-4DA0-9003B86D6F421517},0403,3,B,2003-02-20,12:56:00.000000,Pizza,2003-02-21,18:02:00.000000,160,26,NA,3256,15,0.5,OUT,3.0999999,Fall,N,
{4F9C3F52-1BBC-44D1-B6F8C8032107104C},0404,4,B,2004-02-05,13:15:00.000000,Pizza,2004-02-06,17:11:00.000000,166,3,NA,1999,31,0.5,OUT,3.7,Fall,N,
{73B15B3D-8D20-488B-9AFA36B82A123B27},0405,4,B,2005-03-09,12:25:00.000000,Pizza,2005-03-10,18:11:00.000000,198,9,NA,1216,27,1,OUT,1.97,Fall,N,
{E6005B76-BAF4-4DC5-9F5817F559226E39},0407,4,B,2007-02-15,12:41:00.000000,Pizza,2007-02-16,17:47:00.000000,66,6,1791,1782,34,1,OUT,3.21,Fall,N,3 fish were not released due to a weak condition.
{D81D1533-0E3E-40A8-9EB74456D6BC8A6D},0408,4,B,2008-02-19,13:44:00.000000,Pizza,2008-02-20,17:30:00.000000,81,10,1713,1703,48,1,OUT,3,Fall,N,Lunar eclipse on night of release.
{B7736758-6679-4978-927FD931CA470984},0411,4,B,2011-02-10,12:40:00.000000,Pizza,2011-02-11,17:40:00.000000,92,18,1600,1582,81,1,OUT,2,Fall,N,2000 fish were marked but only released 1600 fish for the trial and the remaining 400 fish were released below the outfall. The 400 fish released below the dam were marked as an exercise for the crew.
{D98562E4-8168-427A-8B739C36FA7A2648},0412,4,B,2012-02-27,13:53:00.000000,Pizza,2012-02-28,18:10:00.000000,110,36,1275,1228,57,1,OUT,2.0599999,Fall,N,
{1843D5B1-9276-498B-82CC7374925424B6},0413,4,B,2013-02-02,12:00:00.000000,Pizza,2013-02-03,17:37:00.000000,147,18,2017,1998,42,0.5,OUT,6.415,Fall,N,10 BB fish retained in live car 7 after recap.
{5407217F-DC03-42CF-B9664FA71476B986},0503,4,B,2003-02-26,12:19:00.000000,Pizza,2003-02-26,17:45:00.000000,158,18,NA,2019,22,0.5,OUT,1.9,Fall,N,
{09E914D7-D1FF-4533-ABF7491EDAA505BA},0504,4,B,2004-02-08,10:00:00.000000,Pizza,2004-02-09,17:15:00.000000,159,7,NA,2017,27,0.5,OUT,2.1500001,Fall,N,
{778A9E88-1880-4954-81A335635500E8B6},0505,4,B,2005-03-13,11:50:00.000000,Pizza,2005-03-13,18:05:00.000000,153,11,NA,1328,43,1,OUT,1.58,Fall,N,Release group comprised of wild battle creek chinook captured in RST and transported to RBDD to be marked with wild fish captured in MST RST's
{B0586AEE-645E-43EC-9A0EBC52500F1EBE},0507,4,B,2007-03-01,14:00:00.000000,Pizza,2007-03-02,18:02:00.000000,117,8,1600,1591,54,1,OUT,4.5900002,Fall,N,1 fish was weak and therefore it wasn't released.
{043D5818-D7E8-4468-BA11EC1A39423C1C},0508,3,B,2008-02-27,15:30:00.000000,Pizza,2008-02-28,17:58:00.000000,63,11,2091,2080,63,1,OUT,8.1000004,Fall,N,Split fish into 4 pail and released each pail in a 1/4 transect of the river to uniform the release.
{7ABEBCCD-7D72-495C-8FBE7108DAD51896},0513,4,B,2013-02-12,13:46:00.000000,Pizza,2013-02-13,17:40:00.000000,142,24,2104,2079,48,0.5,OUT,3.1459999,Fall,N,One weak fish released.
{DEEFF6C7-2206-4219-A579DBE9A25F06EB},0603,4,B,2003-03-01,11:47:00.000000,Pizza,2003-03-01,18:57:00.000000,160,8,NA,1456,31,1,OUT,1.85,Fall,N,
{1F5BF475-C377-463F-9AECD5313B7A8BF2},0604,4,B,2004-02-12,12:05:00.000000,Pizza,2004-02-13,17:11:00.000000,158,3,NA,2009,31,0.5,OUT,7.8699999,Fall,N,10 marked fish were held to check mark retention.
{10CE2EE8-DB70-4113-A5C351826207EA5E},0605,4,B,2005-03-31,13:05:00.000000,Pizza,2005-04-01,18:10:00.000000,129,22,NA,1949,50,1,OUT,6.1100001,Fall,N,
{A81ACCB2-5180-43D3-8C986C4693880808},0607,4,B,2007-03-14,16:00:00.000000,Pizza,2007-03-15,19:16:00.000000,70,47,1000,953,26,1,OUT,2.0799999,Fall,N,
{E5082CD3-2C56-42ED-926C14EF5104DF3C},0613,4,B,2013-02-17,12:40:00.000000,Pizza,2013-02-18,17:47:00.000000,154,23,2181,2156,35,0.5,OUT,4.0100002,Fall,N,Two weak fish excluded from the trial after marking.
{2D979573-2C31-4241-A8FE09E471F95EA1},0703,4,B,2003-03-04,10:58:00.000000,Pizza,2003-03-04,17:59:00.000000,121,8,NA,1168,28,1,OUT,1.5700001,Fall,N,
